Department and Year,Acknowledgement,Checking.forecasts,Visiting.Astrologer,Reason,Belief,Zodiac,Optimism,Empathy,Patience,Impulsivity,Organisation,Age,Health,Diseased,Medication,Mental.Health,Stress,Nature,Lifestyle,Aptitude,Hometown,Ethnicity,Religion,Gender,Education,Culture,Location
STSA-UG3,3,3,1,Have not visited,3,Sagittarius,4,4,3,4,4,18,4,yes,no,4,3,Ambivert,3,4,Mednipur ,Bengali,Hinduism,Male,Higher Secondary,Bengali,Not Kolkata
STSA-UG1,4,4,3,Beliefs,2,Sagittarius,4,4,3,4,4,17,3,no,no,1,5,Ambivert,3,5,Kolkata,Marwari ,Hinduism,Male,Higher Secondary,Non-Bengali,Kolkata
STSA-UG1,1,1,1,Have not visited,1,Sagittarius,3,5,4,4,3,18,4,no,no,4,3,Ambivert,4,5,Chandannagar ,Bengali,Hinduism,Female,Higher Secondary,Bengali,Not Kolkata
STSA-UG1,3,2,1,Have not visited,2,Sagittarius,2,4,3,5,3,22,3,yes,yes,2,4,Ambivert,3,3,Bardhamann ,Bengali,Hinduism,Female,Higher Secondary,Bengali,Not Kolkata
CMSA-UG3,1,2,1,Have not visited,1,Sagittarius,3,4,3,4,5,23,4,no,no,3,4,Extrovert,4,4,Kolkata,Marwari ,Hinduism,Female,Higher Secondary,Non-Bengali,Kolkata
PHSA-UG3,1,1,1,Have not visited,1,Sagittarius,4,3,3,4,4,24,3,no,no,3,4,Ambivert,3,4,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
MDTS -PG1,4,1,1,Have not visited,2,Aquarius,2,2,1,2,1,22,5,no,no,5,5,Ambivert,5,4,Asansol ,Bengali,Hinduism,Male,Bachelors graduate,Bengali,Not Kolkata
STSA-UG3,3,2,1,Have not visited,2,Aquarius,2,2,2,1,1,18,4,no,no,3,3,Introvert,4,3,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
STSA-UG3,3,1,1,Have not visited,1,Aquarius,4,3,4,4,4,21,3,no,no,4,3,Introvert,3,4,Kakdwip,Bengali,Hinduism,Male,Higher Secondary,Bengali,Not Kolkata
STSA-UG1,1,1,1,Have not visited,1,Aquarius,1,1,1,1,2,19,3,no,no,2,2,Introvert,4,5,Batanagar,Bengali,Hinduism,Male,Higher Secondary,Bengali,Not Kolkata
STSA-UG1,2,2,1,Have not visited,2,Aquarius,3,3,4,5,4,21,4,no,no,4,3,Ambivert,5,4,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
STSA-UG1,4,5,1,Have not visited,4,Aquarius,3,5,1,5,2,21,4,yes,yes,2,5,Extrovert,3,3,Konnagar ,Bengali,Hinduism,Female,Higher Secondary,Bengali,Not Kolkata
STSA-UG1,1,1,1,Have not visited,1,Aquarius,4,4,3,2,4,18,3,yes,yes,4,2,Ambivert,4,4,Baruipur ,Bengali,Islam,Male,Higher Secondary,Bengali,Not Kolkata
STSA-UG2,4,2,2,Curiosity,2,Aquarius,1,1,2,1,1,21,3,no,no,4,2,Ambivert,4,2,Kolkata,Lucknowavi,Hinduism,Male,Higher Secondary,Non-Bengali,Kolkata
CMEA-UG1,4,2,1,Have not visited,1,Aquarius,4,4,3,3,4,19,3,no,no,4,3,Ambivert,3,3,Rajasthan,Marwari ,Hinduism,Female,Higher Secondary,Non-Bengali,Not Kolkata
CMEA-UG3,4,4,2,Beliefs,3,Aquarius,3,3,4,3,4,21,3,no,no,4,3,Ambivert,3,4,Kolkata,Marwari ,Hinduism,Female,Higher Secondary,Non-Bengali,Kolkata
MCVA-UG3,4,2,1,Have not visited,2,Capricornus,3,4,4,5,5,18,3,no,no,2,4,Ambivert,5,3,Kolkata,Chinese,Christianity,Female,Higher Secondary,Non-Bengali,Kolkata
MDTS-PG1,1,1,1,Have not visited,1,Capricornus,1,1,2,1,1,19,3,yes,no,3,4,Ambivert,4,3,Raghunathganj ,Bengali,Hinduism,Male,Bachelors graduate,Bengali,Not Kolkata
MDTS-PG1 ,4,2,1,Have not visited,3,Capricornus,3,5,2,4,2,20,3,yes,yes,3,4,Extrovert,3,4,Kalyani,Bengali,Hinduism,Female,Bachelors graduate,Bengali,Not Kolkata
STSA-UG3,1,1,1,Have not visited,1,Capricornus,3,4,4,2,5,19,4,no,no,2,4,Extrovert,2,3,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
STSA-UG3,2,2,1,Have not visited,2,Capricornus,2,4,1,5,3,18,3,no,no,3,4,Ambivert,3,4,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
STSA-UG3,2,3,1,Have not visited,1,Capricornus,1,1,1,1,1,18,3,no,no,4,3,Ambivert,4,3,Sainthia,Bengali,Hinduism,Female,Higher Secondary,Bengali,Not Kolkata
STSA-UG3,3,3,2,Influnced by others,3,Capricornus,3,4,3,3,4,20,4,yes,yes,4,3,Introvert,4,4,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
STSA-UG1,2,1,1,Have not visited,1,Capricornus,2,2,2,1,2,20,4,no,no,2,2,Introvert,3,1,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
MDTS-PG1,3,3,2,Beliefs,3,Pisces,1,1,1,1,1,21,3,no,no,3,3,Ambivert,4,3,Kharagpur ,Bengali,Hinduism,Female,Bachelors graduate,Bengali,Not Kolkata
STSA-UG3,1,1,2,Curiosity,2,Pisces,4,5,4,2,4,19,3,no,no,3,4,Ambivert,3,4,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
STSA-UG3,1,2,1,Have not visited,2,Pisces,3,4,3,4,4,19,4,no,no,3,3,Introvert,4,4,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
STSA-UG1,2,1,1,Have not visited,3,Pisces,3,5,3,4,3,20,2,yes,yes,4,3,Introvert,3,3,Konnagar ,Bengali,Hinduism,Male,Higher Secondary,Bengali,Not Kolkata
STSA-UG1,2,3,1,Have not visited,2,Pisces,2,1,2,1,1,18,4,no,yes,4,3,Ambivert,4,5,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
STSA-UG2,1,3,1,Have not visited,1,Pisces,2,2,1,2,2,20,4,no,yes,3,3,Extrovert,3,2,Katwa,Bengali,Hinduism,Male,Higher Secondary,Bengali,Not Kolkata
